[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000439s ]
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000280s ]
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000355s ]
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000266s ]
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000346s ]
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.006100s ]
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006175s ]
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000278s ]
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000391s ]
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000157s ]
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000338s ]
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001293s ]
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001512s ]
[ 2013-01-05T20:03:20+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001583s ]
[ 2013-01-05T20:06:25+08:00 ] /Admin/ | INFO: Tag[ app_begin ] --START--
[ 2013-01-05T20:06:25+08:00 ] /Admin/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000243s ]
[ 2013-01-05T20:06:25+08:00 ] /Admin/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000354s ]
[ 2013-01-05T20:06:25+08:00 ] /Admin/ | NOTIC: [8] Undefined index:  _ACCESS_LIST RBAC.class.php 第 184 行.
[ 2013-01-05T20:06:25+08:00 ] /Admin/ | NOTIC: [8] Undefined index:  authId CommonAction.class.php 第 11 行.
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000525s ]
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000754s ]
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000182s ]
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000225s ]
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000147s ]
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000195s ]
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --START--
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Run ParseTemplate Behavior [ RunTime:0.004640s ]
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_parse ] --END-- [ RunTime:0.004720s ]
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --START--
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Run ContentReplace Behavior [ RunTime:0.000215s ]
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Run TokenBuild Behavior [ RunTime:0.000274s ]
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000123s ]
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowRuntime Behavior [ RunTime:0.000310s ]
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001028s ]
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --START--
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Run ShowPageTrace Behavior [ RunTime:0.001673s ]
[ 2013-01-05T20:06:32+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_end ] --END-- [ RunTime:0.001727s ]
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --START--
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Run CheckRoute Behavior [ RunTime:0.000221s ]
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ route_check ] --END-- [ RunTime:0.000363s ]
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --START--
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000242s ]
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000310s ]
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --START--
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Run LocationTemplate Behavior [ RunTime:0.000170s ]
[ 2013-01-05T20:08:18+08:00 ] /Admin/index.php/Public/login | INFO: Tag[ view_template ] --END-- [ RunTime:0.000236s ]
